Reading_Id,CycleId,Vehicle_Id,ReadoutDate,IncomingDate,Sender,LoggedPatternId,BatterySlot,Max_Curr,Min_Curr,Avg_Curr,Max_SOC,Min_SOC,Avg_PackTemp,Max_AvgCellTemp,Min_AvgCellTemp,Max_CellVolt,Min_CellVolt,Max_PackVolt,Min_PackVolt,Max_Power,Min_Power,Avg_Power,Total_CapThroughput,Total_EnergyCharged,Total_EnergyDischarged,Total_OpTime,CycleType,Buffer,Gen
2620410520,457,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,3,0,-0.6,-0.35,23.04,21.81,18.8,19.1,18.3,3.614,3.596,654.3,648.8,0,-0.38,-0.22,0.36,0,0.24,3833,Drv,3,1
2620410520,457,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,4,0,-0.5,-0.3,23.2375,21.99,18.3,18.5,17.8,3.616,3.598,653.1,648.9,0,-0.32,-0.22,0.37,0,0.24,3834,Drv,3,1
2620410520,456,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,1,0,-6.9,-0.2,25.9575,22.9625,18.6,18.9,18,3.62,3.599,654.8,649.3,0,-2.92,-0.16,0.25,0,0.16,3836,Drv,4,1
2620410520,456,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,2,0,-0.6,-0.3,24.2575,22.935,18.6,18.8,18,3.618,3.6,654.7,649.5,0,-0.38,-0.2,0.33,0,0.21,3834,Drv,4,1
2620410520,456,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,3,0,-0.7,-0.35,23.9375,22.7025,18.9,19.3,18.4,3.617,3.599,653.1,649.5,0,-0.46,-0.26,0.4,0,0.26,3833,Drv,4,1
2620410520,456,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,4,0,-0.5,-0.3,24.17,22.8925,18.4,18.7,17.9,3.619,3.601,652.8,649.5,0,-0.32,-0.18,0.32,0,0.2,3834,Drv,4,1
2620410520,458,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,1,0,-6.9,-0.25,23.7175,21.2225,18.3,18.6,17.8,3.612,3.592,653.3,647.9,0,-2.9,-0.18,0.29,0,0.18,3836,Drv,2,1
2620410520,458,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,2,0,-0.6,-0.35,22.3775,21.1975,18.2,18.6,17.7,3.611,3.593,652.4,648.2,0,-0.38,-0.22,0.35,0,0.23,3834,Drv,2,1
2620410520,458,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,3,0,-0.5,-0.4,22.075,20.9825,18.8,19,18.2,3.611,3.593,652.2,648.2,0,-0.32,-0.24,0.38,0,0.25,3833,Drv,2,1
2620410520,458,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,4,0,-0.5,-0.3,22.305,21.1625,18.1,18.5,17.7,3.613,3.594,651.4,648.3,0,-0.32,-0.2,0.32,0,0.21,3834,Drv,2,1
2620410520,459,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,1,0.1,-6.8,-0.2,22.7275,20.4625,18.3,18.5,17.7,3.609,3.589,652.4,647.4,0.06,-2.86,-0.14,0.21,0,0.13,3835,Drv,1,1
2620410520,459,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,2,0,-0.5,-0.35,21.5075,20.425,18.2,18.5,17.7,3.608,3.59,652.3,647.6,0,-0.32,-0.22,0.33,0,0.21,3833,Drv,1,1
2620410520,459,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,3,0,-0.5,-0.35,21.22,20.2675,18.6,18.9,18.1,3.607,3.589,651.4,647.6,0,-0.32,-0.22,0.35,0,0.22,3832,Drv,1,1
2620410520,459,9165151,2023-12-14 06:27:54,2023-12-14 07:30:51,TISP,728,4,0,-0.5,-0.3,21.42,20.4175,18.1,18.3,17.6,3.609,3.591,651,647.6,0,-0.32,-0.2,0.3,0,0.19,3833,Drv,1,1
2640632322,462,9165151,2023-12-21 12:30:05,2023-12-21 13:31:47,TISP,728,1,0,-7,-0.3,55.725,53.625,13.9,14.4,12.8,3.766,3.724,678.6,672,0,-3.06,-0.18,0.28,0,0.19,3836,Drv,1,1
2640632322,462,9165151,2023-12-21 12:30:05,2023-12-21 13:31:47,TISP,728,2,0,-0.5,-0.35,55.08,53.595,14,14.4,12.8,3.763,3.723,676.7,672,0,-0.34,-0.22,0.34,0,0.23,3834,Drv,1,1
2640632322,462,9165151,2023-12-21 12:30:05,2023-12-21 13:31:47,TISP,728,3,0.3,-0.5,-0.3,54.91,53.51,14.6,15,13.2,3.757,3.722,677.5,672,0.2,-0.34,-0.18,0.29,0,0.19,3833,Drv,1,1
2640632322,462,9165151,2023-12-21 12:30:05,2023-12-21 13:31:47,TISP,728,4,0,-0.7,-0.4,55.055,53.585,13.7,14.1,12.6,3.762,3.724,677.5,672.1,0,-0.48,-0.26,0.41,0,0.28,3834,Drv,1,1
2640632322,460,9165151,2023-12-21 12:30:05,2023-12-21 13:31:47,TISP,728,1,0.4,-6.3,-0.2,58.2825,56.2575,14.1,14.6,12.3,3.779,3.738,682,675.9,0.28,-2.92,-0.14,0.23,0,0.15,3836,Drv,3,1
2640632322,460,9165151,2023-12-21 12:30:05,2023-12-21 13:31:47,TISP,728,2,0,-0.8,-0.25,57.845,56.2375,14.1,14.6,12.4,3.777,3.737,681.4,675.9,0,-0.54,-0.18,0.29,0,0.19,3834,Drv,3,1
2640632322,460,9165151,2023-12-21 12:30:05,2023-12-21 13:31:47,TISP,728,3,0.1,-0.9,-0.35,57.74,56.135,14.5,15.1,12.7,3.773,3.736,681.5,675.9,0,-0.62,-0.24,0.35,0,0.24,3833,Drv,3,1
2640632322,460,9165151,2023-12-21 12:30:05,2023-12-21 13:31:47,TISP,728,4,0.1,-0.5,-0.4,57.7875,56.2325,13.7,14.2,12.1,3.777,3.739,681,676,0,-0.34,-0.26,0.4,0,0.27,3833,Drv,3,1
2640632322,461,9165151,2023-12-21 12:30:05,2023-12-21 13:31:47,TISP,728,1,0.2,-6.6,-0.25,57.005,54.9125,14,14.5,12.5,3.774,3.73,680.3,673.9,0.14,-2.98,-0.18,0.28,0,0.18,3836,Drv,2,1
2640632322,461,9165151,2023-12-21 12:30:05,2023-12-21 13:31:47,TISP,728,2,0,-0.6,-0.25,56.535,54.86,14.1,14.6,12.6,3.77,3.73,679.7,673.9,0,-0.4,-0.16,0.25,0,0.17,3834,Drv,2,1
2640632322,461,9165151,2023-12-21 12:30:05,2023-12-21 13:31:47,TISP,728,3,0,-0.7,-0.35,56.4025,54.7525,14.6,15.2,13,3.765,3.729,679.8,673.9,0,-0.48,-0.22,0.36,0,0.24,3833,Drv,2,1
2640632322,461,9165151,2023-12-21 12:30:05,2023-12-21 13:31:47,TISP,728,4,0,-0.6,-0.4,56.505,54.8675,13.7,14.2,12.4,3.77,3.731,680.1,674,0,-0.4,-0.24,0.38,0,0.26,3833,Drv,2,1
2641776010,463,9165151,2023-12-21 16:21:04,2023-12-21 17:23:13,TISP,728,1,37,-46.2,-5.7,46.165,43.8,17.3,18.2,16.7,3.698,3.642,665.4,655.8,24.62,-30.32,-3.72,2.21,0.17,1.29,1080,Drv,1,1
2641776010,463,9165151,2023-12-21 16:21:04,2023-12-21 17:23:13,TISP,728,2,37.8,-47.2,-5.6,46.26,43.93,17.4,18.2,16.8,3.699,3.641,665.3,655.7,25.14,-30.98,-3.68,2.22,0.18,1.28,1080,Drv,1,1
2641776010,463,9165151,2023-12-21 16:21:04,2023-12-21 17:23:13,TISP,728,3,38.4,-47.2,-5.55,46.115,43.78,18,18.8,17.3,3.697,3.641,665.4,655.7,25.56,-30.98,-3.7,2.23,0.18,1.29,1080,Drv,1,1
2641776010,463,9165151,2023-12-21 16:21:04,2023-12-21 17:23:13,TISP,728,4,37.5,-48.3,-5.7,46.1275,43.755,17.4,18.2,16.7,3.698,3.641,665.5,656,24.96,-31.68,-3.76,2.24,0.17,1.3,1080,Drv,1,1
